meals,driver add-ons
Whole wheat Turk-a-roni,"Cheese, Salad, Dressing, Cooked vegetables"
Whole grain pizza,"Salad, Dressing, Cooked vegetables"
Chicken patty w/ Tuscan bean and garlic soup,"Soup, Vegetarian"
Beans and brown rice,"Tortillas, Salad, Dressing"
Spinach Manicotti,Butter
Chicken Alfredo with tri-color pasta ,"Vegetarian, Salad, Dressing, Cooked vegetables"
Quiche,"Butter, Vegetarian"
Spaghetti and Meat sauce,"Cheese, Salad, Dressing, Cooked vegetables"
Chicken leg w/ Buttermilk gravy,"Vegetarian, Butter"
Turkey taco w/ Whole wheat tortilla,"Tortillas, Cheese"
Power veggie beef and Chicken stew,"Salad, Dressing, Cooked vegetables, Vegetarian"
"Bean, Corn, and Chicken quesadilla","Tortillas, Vegetarian"
Dirty brown rice w/ Beef,Vegetarian
Turkey meatloaf,"Vegetarian, Butter"
Lasagna,"Salad, Dressing, Cooked vegetables"
Whole wheat ziti w/ Chicken,"Cheese, Salad, Dressing, Cooked vegetables, Vegetarian"
Chicken chili,"Salad, Dressing, Cooked vegetables, Vegetarian"
Hamburger slider,Ketchup
"Ravioli w/ Olive oil, Tomato sauce, and Fresh basil",Cheese
BBQ Chicken leg,"Vegetarian, Butter"
Turkey sloppy Joe,Vegetarian
Whole grain cheese melt w/ Tomato soup,Soup
Shephard's pie,"Salad, Dressing, Cooked vegetables, Vegetarian, Butter"
Maryland style chicken,"Vegetarian, Butter"
Whole wheat macaroni and cheese,
