vans,last milage,last oil change milage,last oil change date,last front tire change date,last rear tire change date,last trans fluid change milage,last battery change date,last air filter change milage,last spark plug change milage,last coil change milage,last state inspection date,last emissions date,last front brake change milage,last rear brake change milage,plate #,VIN #,van type,notes,active
28,86661,86661,2022-10-12,2013-01-12,2013-01-12,78196,2013-09-07,76000,0,86647,2022-10-01,2022-10-01,54411,70161,KJM-7794,1FTNE24W79DA14520,E250,,FALSE
29,73980,69514,2022-12-10,2022-04-26,2022-04-26,52286,2018-12-18,0,0,0,2022-07-01,2021-09-01,54435,54435,XPS-5956,1FTNE24W29DA39261,E250,,TRUE
30,132179,129442,2023-01-07,2023-02-09,2023-02-09,123371,2021-07-08,0,0,0,2023-01-03,2022-07-01,130311,86394,XUE-3497,1FTNE24W49DA78725,E250,,TRUE
31,113794,113789,2023-04-17,2018-01-01,2011-07-01,89410,2019-11-26,0,113789,113789,2023-01-09,2021-10-01,110491,110491,XPB-7369,1FTNE2EW2ADA02908,E250,,FALSE
33,98518,83378,2019-02-12,2017-05-27,2017-05-27,78077,2018-12-31,0,0,0,2022-09-01,2022-08-01,55000,55000,XHH-3003,1FTNE2EW7ADA97823,E250,,TRUE
34,90526,89107,2023-03-28,2019-11-05,2019-11-05,71945,2019-11-03,75430,0,0,2023-05-01,2023-05-01,53000,0,XEH-8086,1FTNS2EW7BDB00990,E250,,TRUE
35,101516,100990,2023-03-31,2023-03-31,2023-03-31,74015,2023-04-03,0,0,0,2023-03-01,2022-04-01,96619,96619,WZJ-4475,1FTNE2EW6CDA52925,E250,,TRUE
36,126724,124571,2023-03-20,2022-05-10,2013-03-29,124571,2018-04-21,76000,0,0,2022-10-01,2022-10-01,0,122648,WVH-5103,1FTNE2EW7CDB37157,E250,"AC not working, backup beeper quiet",TRUE
37,112233,111513,2023-05-06,2018-06-11,2018-06-11,61265,2017-12-30,0,0,0,2023-04-01,2022-04-01,92094,92094,WTE-7975,1FTNE2EW4DDA63309,E250,,TRUE
38,125020,118067,2022-01-28,2013-10-21,2013-10-21,83232,2022-07-19,114757,89152,89152,2023-07-01,2021-07-01,113398,122648,WSL-5173,1FTNS2EW2DDB05940,E250,,TRUE
40,148502,148502,2023-05-31,2018-06-11,2018-06-11,77331,2018-05-03,133120,135358,135358,2023-05-01,2022-06-01,148502,148502,VAT-7028,1FTNE2EW0EDA73742,E250,,TRUE
41,34617,29885,2021-12-30,2022-10-07,2020-01-01,0,2017-11-28,29691,0,0,2022-10-01,2022-10-01,0,0,VAT-7077,1FTNE2EW4EDB19136,E250,,TRUE
42,54424,54424,2023-05-22,2022-10-21,2022-10-21,0,2015-11-21,0,0,0,2022-07-01,2022-07-01,54524,54424,VFT-8770,1FTNR1ZM6FKA78707,Transit,,TRUE
43,25194,20910,2022-06-03,2021-01-11,2021-01-11,0,2018-08-30,0,0,0,2022-08-01,2022-08-01,0,18725,VRH-3666,1FTYR1ZM5GKZ13703,Transit,"Drive shaft flex coupling recall, gas tank door needs replacing",TRUE
44,52667,49863,2023-01-30,2019-01-22,2019-01-22,0,2021-02-11,0,0,0,2022-12-01,2021-09-01,27354,27354,VXP-1478,1FTYR1ZM3HKB20489,Transit,Drive shaft flex coupling recall,TRUE
45,47072,43189,2022-11-17,2022-01-10,2022-01-10,0,2019-02-15,0,0,0,2022-07-01,2022-07-01,0,26322,UZR-8242,1FTYR1ZM6JKB33193,Transit,,TRUE
46,82311,79408,2023-04-12,2023-04-21,2023-04-21,0,2019-12-03,0,0,0,2022-11-01,2022-11-01,0,65338,UWT-9444,1FTYR1ZMXKKA14368,Transit,,TRUE
47,66176,63802,2023-05-06,2022-10-26,2022-10-26,0,2021-01-07,0,0,0,2023-05-01,2023-05-01,0,0,URV-5515,QFTYR1M9KKA65294,Transit,,TRUE
